mr,ref
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is food_x located in the area_x. It receives an customer rating_x customer rating.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","On the area_x, customer rating_x you can find the restaurant name_x. Alimentum serves food_x food with a priceRange_x price range."
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[no]",A food_x called name_x with a customer rating_x customer rating.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]","food_x restaurant that area_x breakfast in a low cost range. It is priceRange_x in city center., nearby near_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",With a customer rating of customer rating_x name_x eatType_x serves food_x food.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",The name_x can be found in the area_x area near the near_x. Customers will find it in the priceRange_x price Range and give it a customer Rating of customer rating_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is priceRange_xly priced with a customer rating of customer rating_x located in the area_x and familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[no]","food_x named name_x have a priceRange_x price range, but is not welcoming towards kids"
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes]",name_x is  familyFriendly_x with a  customer rating of customer rating_x out of 5 situated on the area_x and is really priceRange_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x has a customer rating_x customer rating. It is an food_x eatType_x located in area_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",name_x is an food_x restaurant that is priceRange_xly priced in the area_x area.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is area_x serving customer rating_x food_x food. It is near near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",food_x expensive priceRange_x restaurant with an customer rating_x customer rating. It is located in area_x near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x food_x eatType_x area_x customer rating_x river. It's mid-level price and familyFriendly_x place.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[no], near[near_x]",name_x is a mid-priced eatType_x food_x near near_x.  It is not familyFriendly_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x's average priceRange_x it is familyFriendly_x has a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]",name_x is a food_x eatType_x located near near_x in the priceRange_x price range.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x on the area_x has food_x food and a customer rating_x customer rating.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","name_x is area_x reviewed, moderately priced American food_x river near near_x."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is a eatType_x customer rating_x familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]",The eatType_x located near near_x known as name_x serves food_x food at a priceRange_x price range.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is a food_x eatType_x with good reviews.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5]","eatType_x with customer rating of customer rating_x out of 5 sells food_x food with a price range of priceRange_x, which includes name_x."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","name_x in area_x, familyFriendly_x offers food_x food in the priceRange_x price range near near_x."
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], familyFriendly[yes]",name_x is a highly rated eatType_x that familyFriendly_x
"name[name_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]","In food_x near_x, there area_x place called name_x."
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x]",While shopping at area_x enjoy lunch at name_x.  This food_x cuisine boasts a customer rating_x out of 5 customer rating. A must try.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no], near[near_x]","name_x located near near_x is a eatType_x with a modest price range of priceRange_x with a customer rating_x familyFriendly_x fans, no children"
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x is a cheap, customer rating_x rated, area_x near_x Boat."
"name[name_x], food[food_x], priceRange[priceRange_x], near[near_x]",name_x is food_x and affordable. Next to near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is food_x arrangement located at the area_x. It is priceRange_xly priced with a customer rating of a customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]",priceRange_x eatType_x in the area_x area that serves food_x.
"name[name_x], priceRange[priceRange_x], area[area_x], familyFriendly[no], near[near_x]",name_x is located in the area_x by near_x; it is familyFriendly_x the price range priceRange_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], area[area_x]",name_x is a eatType_x in the area_x whose food is priceRange_x price.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x is an English restaurant food_x with a customer rating_x customer rating and meals ranging in the more priceRange_x range.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]","Located in the city centre, food_x customer rating_x priced British restaurant with a three of five star rating."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is a customer rating_x rated food_x eatType_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","With a priceRange_x price range and customer rating_x customer rating, name_x  is located near near_x. It is also familyFriendly_x."
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no], near[near_x]",name_x serves food_x and is located in the area_x near near_x. It is familyFriendly_x a rating of customer rating_x out of 5.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5]","For a priceRange_x eatType_x with a customer rating of customer rating_x out of 5, try name_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",customer rating_x rated food_x located in the area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is a eatType_x area_x in food_x location with a high price range and high customer rating.
"name[name_x], food[food_x], familyFriendly[yes], near[near_x]",If You're looking for familyFriendly_x food_x place I recommend name_x located near_x
"name[name_x], eatType[eatType_x], area[area_x], near[near_x]","A eatType_x called name_x, can be found near the area_x next to near_x."
"name[name_x], food[food_x], customer rating[customer rating_x]",name_x sells food_x food. It is rated as customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]","name_x provides familyFriendly_x with priceRange_x prices, food_x, and an customer rating_x consumer rating."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5]",name_x serves food_x cuisine. Its prices are priceRange_x and it has a customer rating_x out of 5 consumer rating.
"name[name_x], food[food_x], priceRange[priceRange_x]",name_x has food_x food in the priceRange_x price range.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes]",name_x is a familyFriendly_x eatType_x to get food_x food by the area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]","familyFriendly_x in area_x serves food_x priceRange_x prices, it doesn't allow children though."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",familyFriendly_x food_x food in the priceRange_x price range. It is located in the area_x. Its customer rating is customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is a food_x eatType_x with customer rating_x customer ratings.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",There is a food_x name_x which offers customer rating_x familyFriendly_x by the near_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes], near[near_x]","name_x is a eatType_x in the area_x near near_x, Has customer rating_x out of 5 rating, familyFriendly_x and priceRange_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is a eatType_x serving food_x food with a customer rating of customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], familyFriendly[yes], near[near_x]","name_x, a eatType_x, is near near_x with food_x food, familyFriendly_x, and customer rating_x out of 5 rating"
